время,координата,плотность,сера
1528.95,6800,850,0.6
1528.95,6900,850,0.6
1528.95,7000,850,0.6
1528.95,7100,850,0.6
1528.95,7200,850,0.6
1528.95,7300,850,0.6
1528.95,7400,850,0.6
1528.95,7500,850,0.6
1528.95,7600,850,0.6
1528.95,7700,850,0.6
1528.95,7800,850,0.6
1528.95,7900,850,0.6
1528.95,8000,850,0.6
1528.95,8100,850,0.6
1528.95,8200,850,0.6
1528.95,8300,850,0.6
1528.95,8400,850,0.6
1528.95,8500,850,0.6
1528.95,8600,850,0.6
1528.95,8700,850,0.6
1528.95,8800,850,0.6
1528.95,8900,850,0.6
1528.95,9000,850,0.6
1528.95,9100,850,0.6
1528.95,9200,850,0.6
1528.95,9300,850,0.6
1528.95,9400,850,0.6
1528.95,9500,850,0.6
1528.95,9600,850,0.6
1528.95,9700,850,0.6
1528.95,9800,850,0.6
1528.95,9900,850,0.6
1528.95,10000,850,0.6
1595.43,0,860,0.9
1595.43,100,860,0.9
1595.43,200,860,0.9
1595.43,300,860,0.9
1595.43,400,860,0.9
1595.43,500,860,0.9
1595.43,600,860,0.9
1595.43,700,860,0.9
1595.43,800,860,0.9
1595.43,900,860,0.9
1595.43,1000,860,0.9
1595.43,1100,860,0.9
1595.43,1200,860,0.9
1595.43,1300,860,0.9
1595.43,1400,860,0.9
1595.43,1500,860,0.9
1595.43,1600,860,0.9
1595.43,1700,860,0.9
1595.43,1800,860,0.9
1595.43,1900,860,0.9
1595.43,2000,860,0.9
1595.43,2100,860,0.9
1595.43,2200,860,0.9
1595.43,2300,860,0.9
1595.43,2400,850,0.6
1595.43,2500,850,0.6
1595.43,2600,850,0.6
1595.43,2700,850,0.6
1595.43,2800,850,0.6
1595.43,2900,850,0.6
1595.43,3000,850,0.6
1595.43,3100,850,0.6
1595.43,3200,850,0.6
1595.43,3300,850,0.6
1595.43,3400,850,0.6
1595.43,3500,850,0.6
1595.43,3600,850,0.6
1595.43,3700,850,0.6
1595.43,3800,850,0.6
1595.43,3900,850,0.6
1595.43,4000,850,0.6
1595.43,4100,850,0.6
1595.43,4200,850,0.6
1595.43,4300,850,0.6
1595.43,4400,850,0.6
1595.43,4500,850,0.6
1595.43,4600,850,0.6
1595.43,4700,850,0.6
1595.43,4800,850,0.6
1595.43,4900,850,0.6
1595.43,5000,850,0.6
1595.43,5100,850,0.6
1595.43,5200,850,0.6
1595.43,5300,850,0.6
1595.43,5400,850,0.6
1595.43,5500,850,0.6
1595.43,5600,850,0.6
1595.43,5700,850,0.6
1595.43,5800,850,0.6
1595.43,5900,850,0.6
1595.43,6000,850,0.6
1595.43,6100,850,0.6
1595.43,6200,850,0.6
1595.43,6300,850,0.6
1595.43,6400,850,0.6
1595.43,6500,850,0.6
1595.43,6600,850,0.6
1595.43,6700,850,0.6
1595.43,6800,850,0.6
1595.43,6900,850,0.6
1595.43,7000,850,0.6
1595.43,7100,850,0.6
1595.43,7200,850,0.6
1595.43,7300,850,0.6
1595.43,7400,850,0.6
1595.43,7500,850,0.6
1595.43,7600,850,0.6
1595.43,7700,850,0.6
1595.43,7800,850,0.6
1595.43,7900,850,0.6
1595.43,8000,850,0.6
1595.43,8100,850,0.6
1595.43,8200,850,0.6
1595.43,8300,850,0.6
1595.43,8400,850,0.6
1595.43,8500,850,0.6
1595.43,8600,850,0.6
1595.43,8700,850,0.6
1595.43,8800,850,0.6
1595.43,8900,850,0.6
1595.43,9000,850,0.6
1595.43,9100,850,0.6
1595.43,9200,850,0.6
1595.43,9300,850,0.6
1595.43,9400,850,0.6
1595.43,9500,850,0.6
1595.43,9600,850,0.6
1595.43,9700,850,0.6
1595.43,9800,850,0.6
1595.43,9900,850,0.6
1595.43,10000,850,0.6
1661.9,0,860,0.9
1661.9,100,860,0.9
1661.9,200,860,0.9
1661.9,300,860,0.9
1661.9,400,860,0.9
1661.9,500,860,0.9
1661.9,600,860,0.9
1661.9,700,860,0.9
1661.9,800,860,0.9
1661.9,900,860,0.9
1661.9,1000,860,0.9
1661.9,1100,860,0.9
1661.9,1200,860,0.9
1661.9,1300,860,0.9
1661.9,1400,860,0.9
1661.9,1500,860,0.9
1661.9,1600,860,0.9
1661.9,1700,860,0.9
1661.9,1800,860,0.9
1661.9,1900,860,0.9
1661.9,2000,860,0.9
1661.9,2100,860,0.9
1661.9,2200,860,0.9
1661.9,2300,860,0.9
1661.9,2400,860,0.9
1661.9,2500,850,0.6
1661.9,2600,850,0.6
1661.9,2700,850,0.6
1661.9,2800,850,0.6
1661.9,2900,850,0.6
1661.9,3000,850,0.6
1661.9,3100,850,0.6
1661.9,3200,850,0.6
1661.9,3300,850,0.6
1661.9,3400,850,0.6
1661.9,3500,850,0.6
1661.9,3600,850,0.6
1661.9,3700,850,0.6
1661.9,3800,850,0.6
1661.9,3900,850,0.6
1661.9,4000,850,0.6
1661.9,4100,850,0.6
1661.9,4200,850,0.6
1661.9,4300,850,0.6
1661.9,4400,850,0.6
1661.9,4500,850,0.6
1661.9,4600,850,0.6
1661.9,4700,850,0.6
1661.9,4800,850,0.6
1661.9,4900,850,0.6
1661.9,5000,850,0.6
1661.9,5100,850,0.6
1661.9,5200,850,0.6
1661.9,5300,850,0.6
1661.9,5400,850,0.6
1661.9,5500,850,0.6
1661.9,5600,850,0.6
1661.9,5700,850,0.6
1661.9,5800,850,0.6
1661.9,5900,850,0.6
1661.9,6000,850,0.6
1661.9,6100,850,0.6
1661.9,6200,850,0.6
1661.9,6300,850,0.6
1661.9,6400,850,0.6
1661.9,6500,850,0.6
1661.9,6600,850,0.6
1661.9,6700,850,0.6
1661.9,6800,850,0.6
1661.9,6900,850,0.6
1661.9,7000,850,0.6
1661.9,7100,850,0.6
1661.9,7200,850,0.6
1661.9,7300,850,0.6
1661.9,7400,850,0.6
1661.9,7500,850,0.6
1661.9,7600,850,0.6
1661.9,7700,850,0.6
1661.9,7800,850,0.6
1661.9,7900,850,0.6
1661.9,8000,850,0.6
1661.9,8100,850,0.6
1661.9,8200,850,0.6
1661.9,8300,850,0.6
1661.9,8400,850,0.6
1661.9,8500,850,0.6
1661.9,8600,850,0.6
1661.9,8700,850,0.6
1661.9,8800,850,0.6
1661.9,8900,850,0.6
1661.9,9000,850,0.6
1661.9,9100,850,0.6
1661.9,9200,850,0.6
1661.9,9300,850,0.6
1661.9,9400,850,0.6
1661.9,9500,850,0.6
1661.9,9600,850,0.6
1661.9,9700,850,0.6
1661.9,9800,850,0.6
1661.9,9900,850,0.6
1661.9,10000,850,0.6
1728.38,0,860,0.9
1728.38,100,860,0.9
1728.38,200,860,0.9
1728.38,300,860,0.9
1728.38,400,860,0.9
1728.38,500,860,0.9
1728.38,600,860,0.9
1728.38,700,860,0.9
1728.38,800,860,0.9
1728.38,900,860,0.9
1728.38,1000,860,0.9
1728.38,1100,860,0.9
1728.38,1200,860,0.9
1728.38,1300,860,0.9
1728.38,1400,860,0.9
1728.38,1500,860,0.9
1728.38,1600,860,0.9
1728.38,1700,860,0.9
1728.38,1800,860,0.9
1728.38,1900,860,0.9
1728.38,2000,860,0.9
1728.38,2100,860,0.9
1728.38,2200,860,0.9
1728.38,2300,860,0.9
1728.38,2400,860,0.9
1728.38,2500,860,0.9
1728.38,2600,850,0.6
1728.38,2700,850,0.6
1728.38,2800,850,0.6
1728.38,2900,850,0.6
1728.38,3000,850,0.6
1728.38,3100,850,0.6
1728.38,3200,850,0.6
1728.38,3300,850,0.6
1728.38,3400,850,0.6
1728.38,3500,850,0.6
1728.38,3600,850,0.6
1728.38,3700,850,0.6
1728.38,3800,850,0.6
1728.38,3900,850,0.6
1728.38,4000,850,0.6
1728.38,4100,850,0.6
1728.38,4200,850,0.6
1728.38,4300,850,0.6
